id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26654637,"""Calypso"", 6th flr apt, 5' from metro in N. Kosmos",144814182,Dropebnb,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9564001606602,23.723494122681917,Entire home/apt,49,3,2,2018-08-02,2,26,90
26656492,Chic & Minimal ... and 5' from metro!,144814182,Dropebnb,,ΠΕΤΡΑΛΩΝΑ,37.96515298527605,23.70671567498891,Entire home/apt,59,3,0,,,26,165
26656605,Dialechtis apat-10 min from Syntagma square,128835228,Σπυρος,,ΠΑΓΚΡΑΤΙ,37.965626814367894,23.747307655849802,Entire home/apt,70,2,0,,,1,270
26657334,Lovely warm comfortable Down town Athens Studio,92242060,Maria,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96511878772234,23.73874284798948,Entire home/apt,45,2,3,2018-07-29,2.50,1,174
26659654,Budget friendly Metro Victoria 8 min to Acropolis,194627760,Bill And Helen,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99818080267106,23.72607540284391,Entire home/apt,35,2,0,,,3,363
26659733,Design & Boutique apt in the heart of Athens!,144814182,Dropebnb,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9928367280161,23.72729164453845,Entire home/apt,49,3,5,2018-07-27,4.05,26,57
26660057,An oasis in the city centre,4015080,Vassilios,,ΙΛΙΣΙΑ,37.97731104348834,23.753923909143637,Entire home/apt,40,2,0,,,1,79
26661114,ALSOS VIEW,200413635,Μαριαννα,,ΠΑΓΚΡΑΤΙ,37.968586984099744,23.745977199648312,Entire home/apt,40,2,4,2018-08-01,4,1,74
26665814,Penthouse Suite with big terrace+separate entrance,26482917,Yiannis,,ΠΕΤΡΑΛΩΝΑ,37.970036066808724,23.706542241431748,Private room,35,1,2,2018-08-10,2,1,54
26666232,La suite Margaux,134105740,Viki,,ΚΟΛΩΝΑΚΙ,37.97756165176115,23.739764502528107,Entire home/apt,65,1,1,2018-07-31,1,1,179
26666284,Who Else Wants This Lovely Room At Ridiculous Rate,17652882,Alex,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98742909242485,23.727320276436608,Private room,37,3,3,2018-08-11,3,16,229
26666455,"Summer breeze, back yard studio near Acropolis",200459694,Alex,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96173147592026,23.722122078988345,Entire home/apt,41,1,0,,,1,309
26666649,Athens central studios-near to acropolis,186232202,Vasilis,,ΘΗΣΕΙΟ,37.977558984442595,23.72156704496699,Entire home/apt,64,1,1,2018-07-15,0.94,2,353
26673276,Cozy apartment near centre,190456440,Vicki,,ΚΥΨΕΛΗ,37.99972222132365,23.742095637292323,Entire home/apt,28,1,1,2018-07-12,0.86,10,354
26677153,Live like a local!,29916707,Eirini,,ΚΥΨΕΛΗ,37.99906589735296,23.74059624277334,Entire home/apt,26,2,5,2018-07-31,5,1,327
26680153,"Central cosy, Downtown",35757513,Sabry,,ΛΥΚΑΒΗΤΤΟΣ,37.981433621379175,23.740420605126577,Private room,35,1,1,2018-07-22,1,2,356
26683288,Studio with view Acropolis,182778752,Τζοβάνη,,ΝΕΑ ΚΥΨΕΛΗ,38.00037409053036,23.74672154261047,Entire home/apt,40,2,2,2018-07-23,1.82,1,173
26683808,Room in newly renovated apartment near the center,194989916,Viola,,ΓΚΥΖΗ,37.9918190647992,23.747223630243194,Private room,27,1,0,,,3,81
